date,loc,count,source,SFIPS,SFIPS,CFIPS,CFIPS,PLFIPS,GNIS-ID-maybe,unclear11,pop1990,pop2000,Name,State-abb,State,unclear17,unclear18,unclear19,unclear20,unclear21,unclear22,unclear23,unclear24,unclear25,Long,Lat
3/17/2012,Philadelphia,1,http://www.reuters.com/article/2012/03/25/us-occupy-newyork-idUSBRE82O01I20120325,42,42,101,101,b'       ',1209052,b'           ',0,1209052,PHILADELPHIA,PA,PENNSYLVANIA,b'             ',b'             ',1,0,13080,0,0,b'             ',0,-75.1347,40.0068
3/16/2012,New York,5,http://www.reuters.com/article/2012/03/21/us-occupy-newyork-idUSBRE82K1K920120321,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
3/16/2012,St. Louis,14,http://articles.boston.com/2012-03-21/metro/31216332_1_hazing-incident-sorority-rescue-squad,29,29,510,510,65000,765765,b'           ',396685,348189,ST. LOUIS,MO,MISSOURI,1,b'             ',1,0,9820,9820,0,b'             ',0,-90.2443,38.636
3/12/2012,Atlanta,14,http://www.usatoday.com/news/nation/story/2012-03-17/occupy-wall-street/53595282/1,13,13,121,121,04000,351615,1016,0,486411,ATLANTA,GA,GEORGIA,1,b'             ',1,0,10000,10000,0,b'             ',0,-84.39035,33.74884
3/6/2012,Sacramento,1,http://www.scpr.org/news/2012/03/17/31676/surprise-occupy-protest-slaps-downtown-la-possible/,06,06,067,067,64000,0606764,b'           ',369365,407018,SACRAMENTO,CA,CALIFORNIA,1,b'             ',1,0,8670,8670,0,b'             ',0,-121.4674,38.5669
3/5/2012,Sacramento,72,http://articles.philly.com/2012-03-17/news/31205135_1_public-hearing-hours-in-police-custody-arrest,06,06,067,067,64000,0606764,b'           ',369365,407018,SACRAMENTO,CA,CALIFORNIA,1,b'             ',1,0,8670,8670,0,b'             ',0,-121.4674,38.5669
3/5/2012,Palm Beach,4,http://www.salon.com/2012/03/16/occupy_unwelcome_furniture_at_bofa/singleton/,12,12,099,099,54025,293097,21,9814,82103,WEST PALM BEACH,FL,FLORIDA,1,b'             ',1,0,7900,5290,0,b'             ',0,-80.06,26.71
3/5/2012,Cleveland,5,http://www.news-leader.com/article/20120316/NEWS11/303160057/OCCUPY-ARREST?odyssey=mod%7Cnewswell%7Ctext%7CSpecial%20Reports%7Cp,39,39,035,035,16000,1066654,690,505616,478403,CLEVELAND,OH,OHIO,1,b'             ',1,0,10470,10470,0,b'             ',0,-81.6785,41.4797
3/1/2012,Tucson,21,http://www.ajc.com/news/atlanta/14-occupy-atlanta-protesters-1382360.html,04,04,019,019,77000,43534,2483,405390,486699,TUCSON,AZ,ARIZONA,1,b'             ',1,0,1780,1780,0,b'             ',0,-110.8917,32.1958
2/29/2012,New York,10,http://blogs.sacbee.com/capitolalertlatest/2012/03/occupy-protester-arrested-for-throwing-flower-petals-in-capitol.html,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
2/29/2012,Kansas City,4,http://latimesblogs.latimes.com/lanow/2012/03/72-arrested-during-occupy-the-capitol-student-protest.html,29,29,095,095,38000,748198,900,435146,441545,KANSAS CITY,MO,MISSOURI,1,b'             ',1,0,9830,9830,0,b'             ',0,-94.578,39.0997
2/29/2012,Washington,12,http://www.huffingtonpost.com/2012/03/05/occupy-palm-beach-camp-sh_n_1321579.html,11,11,001,001,50000,531871,18,606900,572059,WASHINGTON,DC,DISTRICT,1,b'             ',1,0,3400,10,0,b'             ',0,-77.0162,38.9051
2/29/2012,Portland,7,http://www.cleveland.com/business/index.ssf/2012/03/occupy_cleveland_disrupts_sher.html,41,41,051,051,59000,1136645,b'           ',437319,529121,PORTLAND DOWNTOWN,OR,OREGON,1,b'             ',1,0,4000,2840,0,b'             ',0,-122.68,45.52
